date,team,position
1930-07-30,Uruguay,1
1930-07-30,Argentina,2
1930-07-27,United States,3
1930-07-27,Yugoslavia,4
1934-06-10,Italy,1
1934-06-10,Czechoslovakia,2
1934-06-07,Germany,3
1934-06-07,Austria,4
1938-06-19,Italy,1
1938-06-19,Hungary,2
1938-06-18,Brazil,3
1938-06-18,Sweden,4
1950-07-16,Uruguay,1
1950-07-16,Brazil,2
1950-07-16,Sweden,3
1950-07-16,Spain,4
1954-07-04,West Germany,1
1954-07-04,Hungary,2
1954-07-03,Austria,3
1954-07-03,Uruguay,4
1958-06-29,Brazil,1
1958-06-29,Sweden,2
1958-06-28,France,3
1958-06-28,West Germany,4
1962-06-17,Brazil,1
1962-06-17,Czechoslovakia,2
1962-06-16,Chile,3
1962-06-16,Yugoslavia,4
1966-07-30,England,1
1966-07-30,West Germany,2
1966-07-28,Portugal,3
1966-07-28,Soviet Union,4
1970-06-21,Brazil,1
1970-06-21,Italy,2
1970-06-20,West Germany,3
1970-06-20,Uruguay,4
1974-07-07,West Germany,1
1974-07-07,Netherlands,2
1974-07-06,Poland,3
1974-07-06,Brazil,4
1978-06-25,Argentina,1
1978-06-25,Netherlands,2
1978-06-24,Brazil,3
1978-06-24,Italy,4
1982-07-11,Italy,1
1982-07-11,West Germany,2
1982-07-10,Poland,3
1982-07-10,France,4
1986-06-29,Argentina,1
1986-06-29,West Germany,2
1986-06-28,France,3
1986-06-28,Belgium,4
1990-07-08,West Germany,1
1990-07-08,Argentina,2
1990-07-07,Italy,3
1990-07-07,England,4
1994-07-17,Brazil,1
1994-07-17,Italy,2
1994-07-16,Sweden,3
1994-07-16,Bulgaria,4
1998-07-12,France,1
1998-07-12,Brazil,2
1998-07-11,Croatia,3
1998-07-11,Netherlands,4
2002-06-30,Brazil,1
2002-06-30,Germany,2
2002-06-29,Turkey,3
2002-06-29,South Korea,4
2006-07-09,Italy,1
2006-07-09,France,2
2006-07-08,Germany,3
2006-07-08,Portugal,4
2010-07-11,Spain,1
2010-07-11,Netherlands,2
2010-07-10,Germany,3
2010-07-10,Uruguay,4
2014-07-13,Germany,1
2014-07-13,Argentina,2
2014-07-12,Netherlands,3
2014-07-12,Brazil,4
2018-07-15,France,1
2018-07-15,Croatia,2
2018-07-14,Belgium,3
2018-07-14,England,4
2022-12-18,Argentina,1
2022-12-18,France,2
2022-12-17,Croatia,3
2022-12-17,Morocco,4
